"GEO","Date","Employed_working","Employed_absent","Unemployed","Not_in_LF","16_to_24_years","25_to_34_years","35_to_44_years","45_to_54_years","55_to_64_years","over_65_years","Male","Female","Married","Common_Law","Widowed","Separated","Divorced","Single","Minimal_Educ","Some_High_School","High_School","Some_Postsecondary","Postsecondary","Bachelors","Above_Bachelors","Employee","Self_Employed","Unattached","Couple/Dual/no_kid","Couple/Dual/young_kid","Couple/Dual/old_kid","Couple/Single_earn/no_kid","Couple/Single_earn/young_kid","Couple/Single_earn/old_kid","Couple/Non_earn/no_kid","Couple/Non_earn/young_kid","Couple/Non_earn/old_kid","Lone/Empl/young_kid","Lone/Empl/old_kid","Lone/Unempl/young_kid","Lone/Unempl/old_kid","Other_Fam","YKID_newborn_preK","YKID_schoolage","YKID_Teen","YKID_adult","HRLYEARN"
"Alberta",2016-01-01,0.59741,0.04596,0.05741,0.29922,0.14877,0.18431,0.17073,0.17371,0.17157,0.15091,0.496,0.504,0.51935,0.09732,0.04485,0.02149,0.05629,0.2607,0.03787,0.14961,0.22934,0.05387,0.32983,0.14058,0.05889,0.61723,0.1217,0.1751,0.15594,0.18292,0.04317,0.08746,0.10225,0.02196,0.08746,0.00977,0.00186,0.03061,0.01396,0.01005,0.00475,0.07276,0.12346,0.08206,0.05145,0.0454,29.5059801840057
"Alberta",2016-02-01,0.58437,0.05628,0.0643,0.29505,0.1502,0.18544,0.17548,0.16828,0.16967,0.15094,0.49617,0.50383,0.51785,0.10029,0.04382,0.0226,0.05582,0.25962,0.03755,0.14771,0.23,0.05619,0.33047,0.13968,0.0584,0.61851,0.12151,0.17391,0.15177,0.19162,0.04087,0.08672,0.09798,0.02233,0.08912,0.01116,0.00286,0.03045,0.01301,0.01255,0.00397,0.07169,0.12492,0.08313,0.05416,0.0441,29.7232782853127
"Alberta",2016-03-01,0.59492,0.04788,0.05861,0.29858,0.15167,0.18518,0.17622,0.16884,0.16856,0.14952,0.49291,0.50709,0.51521,0.10286,0.04237,0.02277,0.05497,0.26181,0.03743,0.14971,0.22933,0.0546,0.32873,0.14075,0.05945,0.62078,0.11732,0.17127,0.15251,0.18639,0.04387,0.08839,0.09856,0.02007,0.08606,0.01167,0.00252,0.03304,0.01316,0.01204,0.00336,0.0771,0.12666,0.08344,0.05096,0.04387,29.8302091388401
"Alberta",2016-04-01,0.59371,0.04637,0.06081,0.29912,0.15141,0.19102,0.17742,0.16946,0.16335,0.14734,0.49616,0.50384,0.51448,0.10458,0.04165,0.02166,0.05479,0.26284,0.03739,0.14243,0.23091,0.05609,0.33133,0.14604,0.05581,0.62351,0.11652,0.17279,0.14891,0.19112,0.04155,0.08866,0.09903,0.02267,0.08283,0.01259,0.00241,0.0336,0.01398,0.01129,0.00361,0.07497,0.13429,0.08181,0.05164,0.04378,30.0122344514326
"Alberta",2016-05-01,0.59831,0.04934,0.0606,0.29175,0.15053,0.19047,0.17352,0.17185,0.16217,0.15146,0.49581,0.50419,0.51154,0.1051,0.04143,0.02132,0.05502,0.26559,0.0404,0.14252,0.22938,0.05474,0.33234,0.14662,0.05399,0.61758,0.11897,0.1739,0.14718,0.18619,0.04198,0.09095,0.10296,0.02299,0.08192,0.01098,0.00223,0.03305,0.01527,0.01164,0.00326,0.0755,0.1348,0.07987,0.05055,0.04422,29.0018349904064
"Alberta",2016-06-01,0.60095,0.04517,0.05868,0.2952,0.14636,0.18992,0.16976,0.17394,0.16082,0.1592,0.49767,0.50233,0.51812,0.10319,0.04223,0.02102,0.05354,0.26191,0.03909,0.14094,0.23357,0.05525,0.33096,0.14655,0.05364,0.61027,0.12049,0.17261,0.14246,0.18488,0.04489,0.09377,0.10594,0.02282,0.08645,0.00903,0.00342,0.03243,0.01388,0.01018,0.00323,0.07399,0.13162,0.08112,0.05126,0.04631,28.8561812645531
"Alberta",2016-07-01,0.56281,0.08033,0.06452,0.29234,0.14163,0.18555,0.17277,0.17452,0.1634,0.16213,0.50015,0.49985,0.52338,0.10249,0.04256,0.02147,0.05212,0.25798,0.0409,0.13616,0.23807,0.05534,0.32953,0.14417,0.05583,0.61064,0.11596,0.17735,0.13753,0.18331,0.04265,0.09966,0.10747,0.01962,0.09156,0.00878,0.00303,0.02977,0.01279,0.01015,0.00224,0.07408,0.13128,0.08062,0.05183,0.04207,28.8049926659333
"Alberta",2016-08-01,0.55886,0.08791,0.06538,0.28786,0.14099,0.18551,0.18095,0.17974,0.15766,0.15515,0.50382,0.49618,0.52319,0.10225,0.04191,0.01956,0.05439,0.25871,0.04004,0.13522,0.23524,0.05495,0.33591,0.14267,0.05597,0.61781,0.11185,0.17778,0.14081,0.1816,0.03939,0.09564,0.11948,0.02077,0.08503,0.00903,0.00242,0.02971,0.01322,0.00922,0.00335,0.07255,0.13187,0.08419,0.05457,0.0407,29.3663473466575
"Alberta",2016-09-01,0.5974,0.04898,0.05413,0.29949,0.14038,0.18618,0.1843,0.17466,0.15761,0.15686,0.50562,0.49438,0.52538,0.10227,0.04139,0.02098,0.05507,0.25492,0.03877,0.13233,0.23656,0.05525,0.33864,0.14385,0.0546,0.61388,0.11725,0.17456,0.14778,0.19245,0.03952,0.09683,0.1136,0.01695,0.08138,0.00777,0.00262,0.03034,0.01349,0.01002,0.00384,0.06883,0.13336,0.08513,0.05619,0.03896,29.7914398456682
"Alberta",2016-10-01,0.60544,0.04444,0.05641,0.29372,0.14361,0.18564,0.18184,0.17525,0.1553,0.15836,0.50413,0.49587,0.5237,0.10298,0.03934,0.02319,0.05232,0.25847,0.0385,0.13359,0.23676,0.05631,0.33472,0.14324,0.05687,0.62065,0.11235,0.17562,0.14705,0.1926,0.04156,0.09481,0.11142,0.018,0.08285,0.00863,0.00204,0.0282,0.01447,0.01002,0.00445,0.06828,0.12997,0.0822,0.05798,0.04175,29.5550650239562
"Alberta",2016-11-01,0.60032,0.04618,0.0622,0.29131,0.14865,0.18247,0.18462,0.1746,0.15333,0.15633,0.50637,0.49363,0.5236,0.10219,0.03962,0.0236,0.05274,0.25824,0.03719,0.13582,0.23885,0.0577,0.33102,0.14312,0.05629,0.62374,0.11193,0.17329,0.13994,0.19146,0.04768,0.09526,0.10819,0.01911,0.08514,0.01152,0.00178,0.02988,0.01583,0.01077,0.00459,0.06557,0.13085,0.08055,0.05854,0.04665,29.4922569987828
"Alberta",2016-12-01,0.59232,0.04829,0.0594,0.29999,0.15121,0.17876,0.18194,0.17465,0.15765,0.15579,0.5064,0.4936,0.52414,0.09825,0.03941,0.02456,0.05426,0.25936,0.03689,0.14308,0.23573,0.05856,0.33109,0.13935,0.05529,0.62184,0.11385,0.17213,0.14477,0.18296,0.05034,0.09517,0.10647,0.01831,0.08639,0.01336,0.00177,0.03428,0.01578,0.01121,0.00458,0.06248,0.13029,0.08088,0.0552,0.04791,29.680703385371
"British Columbia",2016-01-01,0.5309,0.04268,0.04746,0.37896,0.1315,0.14071,0.13927,0.16952,0.18888,0.23013,0.48416,0.51584,0.5009,0.10998,0.06073,0.0269,0.06444,0.23706,0.02929,0.12457,0.2636,0.07699,0.32241,0.12361,0.05953,0.54178,0.11775,0.20335,0.14477,0.15852,0.03921,0.0991,0.06599,0.01554,0.14585,0.00371,0.00634,0.03299,0.01435,0.01004,0.00634,0.05392,0.09014,0.06707,0.05105,0.04363,25.2295084087969
"British Columbia",2016-02-01,0.52982,0.04746,0.0445,0.37822,0.12923,0.14485,0.13538,0.16911,0.18533,0.23609,0.48178,0.51822,0.50083,0.11538,0.05964,0.02473,0.0632,0.23621,0.0303,0.12355,0.26367,0.07479,0.32462,0.12414,0.05893,0.5432,0.11692,0.20178,0.15112,0.1529,0.04473,0.09669,0.06698,0.01633,0.1471,0.00497,0.00639,0.03065,0.01349,0.00947,0.00604,0.05136,0.08982,0.06604,0.04793,0.04686,25.075357505071
"British Columbia",2016-03-01,0.50894,0.07067,0.03935,0.38104,0.12178,0.14505,0.14097,0.16341,0.18656,0.24223,0.48134,0.51866,0.49778,0.12274,0.05951,0.02448,0.06359,0.23191,0.03119,0.12358,0.25723,0.07427,0.33041,0.12334,0.05999,0.53701,0.11842,0.1994,0.15141,0.15621,0.03911,0.0985,0.06659,0.01572,0.14925,0.006,0.00564,0.02987,0.01212,0.01116,0.00492,0.05411,0.08962,0.07115,0.04727,0.04079,25.2218123393316
"British Columbia",2016-04-01,0.53141,0.04473,0.03938,0.38449,0.12134,0.14513,0.14061,0.16429,0.18522,0.2434,0.48299,0.51701,0.49679,0.12336,0.05698,0.02581,0.06448,0.23257,0.03307,0.12717,0.25886,0.07043,0.3331,0.11765,0.05972,0.53283,0.12015,0.20236,0.14692,0.1606,0.03474,0.09517,0.06591,0.01642,0.15477,0.00749,0.00488,0.03057,0.01202,0.01083,0.00357,0.05377,0.09017,0.06983,0.04913,0.03783,25.2891733402222
"British Columbia",2016-05-01,0.5405,0.04561,0.04291,0.37099,0.11861,0.14341,0.14294,0.16434,0.18773,0.24298,0.48372,0.51628,0.49736,0.1192,0.05595,0.02692,0.06571,0.23487,0.03303,0.1286,0.25791,0.0663,0.3349,0.1199,0.05936,0.53556,0.11826,0.20442,0.14882,0.15916,0.03456,0.09639,0.06571,0.0154,0.14764,0.00752,0.00564,0.03056,0.0127,0.0107,0.00364,0.05713,0.08863,0.07018,0.04796,0.03844,25.1906133133882
"British Columbia",2016-06-01,0.54215,0.04845,0.03717,0.37223,0.11644,0.14282,0.14486,0.16213,0.18959,0.24415,0.48279,0.51721,0.50138,0.11548,0.05612,0.02614,0.06691,0.23396,0.03574,0.12723,0.25423,0.06176,0.34273,0.12004,0.05828,0.53304,0.12172,0.20554,0.14546,0.15829,0.03466,0.09605,0.06548,0.01835,0.1493,0.00743,0.00396,0.03022,0.01247,0.01139,0.00384,0.05756,0.0915,0.07147,0.04569,0.03921,25.3484854614412
"British Columbia",2016-07-01,0.51299,0.07746,0.03746,0.37208,0.11782,0.14332,0.13897,0.16205,0.19009,0.24773,0.48012,0.51988,0.50441,0.11613,0.0568,0.02695,0.06344,0.23227,0.03589,0.12411,0.25837,0.06248,0.3374,0.12036,0.06139,0.53692,0.12024,0.20399,0.14731,0.14719,0.0365,0.09704,0.07166,0.01547,0.15674,0.00677,0.00471,0.02961,0.01257,0.01221,0.00363,0.05462,0.09124,0.06634,0.04604,0.03867,25.257654822335
"British Columbia",2016-08-01,0.50728,0.07963,0.04139,0.37169,0.11702,0.14372,0.13996,0.16278,0.19046,0.24605,0.48058,0.51942,0.50534,0.10791,0.05802,0.02853,0.06373,0.23647,0.03751,0.12357,0.25164,0.06361,0.336,0.12236,0.06531,0.53423,0.12017,0.20697,0.1385,0.14773,0.03545,0.09905,0.07441,0.01712,0.15028,0.00631,0.00437,0.03023,0.0136,0.01238,0.00328,0.06033,0.09213,0.06798,0.04722,0.03897,25.2126951816542
"British Columbia",2016-09-01,0.53863,0.04694,0.03833,0.37611,0.12104,0.14057,0.14057,0.17138,0.18714,0.2393,0.48102,0.51898,0.50552,0.10612,0.057,0.02923,0.06683,0.23529,0.03529,0.12723,0.24912,0.06355,0.33475,0.12456,0.06549,0.53293,0.12408,0.20813,0.14203,0.15039,0.03845,0.10139,0.06925,0.01625,0.14287,0.00546,0.00376,0.03275,0.01371,0.01322,0.00291,0.05943,0.09485,0.06671,0.04779,0.04002,25.6448582574772
"British Columbia",2016-10-01,0.54129,0.04919,0.04039,0.36914,0.12333,0.14346,0.14105,0.16854,0.18614,0.23749,0.4827,0.5173,0.49572,0.11151,0.05594,0.03074,0.06534,0.24075,0.03701,0.13044,0.25112,0.06209,0.32767,0.12441,0.06727,0.54069,0.1208,0.2094,0.14394,0.15503,0.03773,0.09765,0.06787,0.01627,0.1402,0.00458,0.00386,0.03062,0.01423,0.01362,0.00301,0.06197,0.09789,0.06763,0.04533,0.04039,25.646704805492
