"GEO","Date","Employed_working","Employed_absent","Unemployed","Not_in_LF","16_to_24_years","25_to_34_years","35_to_44_years","45_to_54_years","55_to_64_years","over_65_years","Male","Female","Married","Common_Law","Widowed","Separated","Divorced","Single","Minimal_Educ","Some_High_School","High_School","Some_Postsecondary","Postsecondary","Bachelors","Above_Bachelors","Employee","Self_Employed","New_immigrant","Old_immigrant","Non_immigrant","Unattached","Couple/Dual/no_kid","Couple/Dual/young_kid","Couple/Dual/old_kid","Couple/Single_earn/no_kid","Couple/Single_earn/young_kid","Couple/Single_earn/old_kid","Couple/Non_earn/no_kid","Couple/Non_earn/young_kid","Couple/Non_earn/old_kid","Lone/Empl/young_kid","Lone/Empl/old_kid","Lone/Unempl/young_kid","Lone/Unempl/old_kid","Other_Fam","YKID_newborn_preK","YKID_schoolage","YKID_Teen","YKID_adult","HRLYEARN"
"Alberta",2021-01-01,0.52106,0.04807,0.06219,0.36868,0.13355,0.14272,0.16848,0.15114,0.16724,0.23687,0.50322,0.49678,0.55401,0.09267,0.0503,0.01883,0.05624,0.22795,0.03122,0.14792,0.25248,0.06442,0.35332,0.12017,0.03048,0.56987,0.10704,0.04757,0.09217,0.86026,0.16947,0.12859,0.18682,0.03568,0.10555,0.09143,0.01611,0.13454,0.01437,0.00372,0.03023,0.00793,0.00694,0.00223,0.0664,0.11447,0.08672,0.04955,0.03766,33.0933121019108
"Alberta",2021-02-01,0.53098,0.05022,0.05847,0.36032,0.12644,0.14918,0.16742,0.15242,0.16942,0.23513,0.50125,0.49875,0.55972,0.0947,0.05022,0.01799,0.05347,0.22389,0.03073,0.14568,0.25237,0.06172,0.35832,0.12044,0.03073,0.56572,0.10995,0.05522,0.0932,0.85157,0.17191,0.13243,0.17041,0.03248,0.11494,0.10195,0.01774,0.13218,0.01349,0.00225,0.02774,0.0095,0.005,0.00275,0.06522,0.11169,0.08871,0.04273,0.03698,32.8935819327731
"Alberta",2021-03-01,0.55056,0.04104,0.05538,0.35303,0.12311,0.15056,0.17108,0.14907,0.17923,0.22695,0.4979,0.5021,0.56415,0.08603,0.04895,0.01805,0.05859,0.22423,0.03041,0.14363,0.25587,0.06304,0.35748,0.11792,0.03164,0.55921,0.11644,0.05068,0.08653,0.86279,0.17182,0.14561,0.16663,0.03066,0.11372,0.09197,0.01632,0.1288,0.01112,0.00222,0.02868,0.0089,0.00766,0.00519,0.0707,0.10457,0.08727,0.04178,0.03535,32.2012987679671
"Alberta",2021-04-01,0.53816,0.05804,0.05755,0.34626,0.12349,0.14942,0.17832,0.14646,0.18251,0.21981,0.49839,0.50161,0.56532,0.0857,0.04693,0.01902,0.05755,0.22549,0.02865,0.14152,0.25043,0.06298,0.36552,0.11978,0.03112,0.55298,0.11558,0.04865,0.08496,0.86639,0.16967,0.1472,0.18177,0.03285,0.11262,0.08545,0.01457,0.12373,0.01185,0.00222,0.0284,0.00988,0.00741,0.00568,0.06668,0.10496,0.09113,0.04347,0.03606,32.5466412601626
"Alberta",2021-05-01,0.5558,0.05642,0.04727,0.34051,0.12868,0.14675,0.17694,0.15219,0.18164,0.21381,0.50111,0.49889,0.56347,0.08587,0.04355,0.02054,0.05815,0.22841,0.02846,0.15046,0.25192,0.06187,0.35486,0.12126,0.03118,0.55556,0.11557,0.04727,0.08735,0.86538,0.16679,0.1559,0.18114,0.03588,0.1022,0.09874,0.01534,0.11952,0.00569,0.00223,0.02598,0.01089,0.01039,0.00544,0.06385,0.10567,0.08513,0.05024,0.03885,32.5365217391304
"Alberta",2021-06-01,0.58275,0.04561,0.04287,0.32876,0.12861,0.13833,0.17772,0.15553,0.19093,0.20887,0.50299,0.49701,0.55508,0.09222,0.04063,0.02094,0.06082,0.23031,0.02941,0.14432,0.25449,0.05708,0.36416,0.11989,0.03066,0.56904,0.11515,0.04885,0.083,0.86815,0.16451,0.15603,0.18395,0.03838,0.10743,0.09621,0.01321,0.12014,0.00623,0.0015,0.03066,0.01047,0.00698,0.00224,0.06206,0.1002,0.08923,0.05209,0.03714,31.8984357005758
"Alberta",2021-07-01,0.52834,0.0907,0.04963,0.33132,0.12245,0.13958,0.17284,0.15898,0.18947,0.21668,0.50113,0.49887,0.55682,0.09045,0.04359,0.02343,0.05946,0.22625,0.03124,0.14185,0.25447,0.05165,0.37541,0.11363,0.03175,0.56437,0.11413,0.04812,0.08667,0.86521,0.16402,0.16201,0.1683,0.0383,0.1091,0.09902,0.01285,0.12698,0.00479,0.00328,0.02973,0.00932,0.0068,0.00328,0.06223,0.09675,0.08642,0.04888,0.03779,32.0271117705242
"Alberta",2021-08-01,0.52697,0.0908,0.05418,0.32806,0.12914,0.13013,0.17417,0.16155,0.1858,0.2192,0.50693,0.49307,0.55616,0.08931,0.04156,0.02449,0.05814,0.23033,0.03216,0.14028,0.25433,0.04651,0.38199,0.11133,0.0334,0.56408,0.11331,0.04527,0.08882,0.86591,0.16625,0.16081,0.16997,0.03983,0.10663,0.09203,0.01113,0.12815,0.00619,0.00396,0.0329,0.01089,0.00619,0.00223,0.06284,0.08832,0.08535,0.05369,0.03736,32.3719299951386
"Alberta",2021-09-01,0.56172,0.05394,0.04279,0.34155,0.13096,0.12915,0.17427,0.16442,0.1792,0.22199,0.50908,0.49092,0.54979,0.09051,0.04331,0.02438,0.05705,0.23496,0.03268,0.14108,0.25493,0.05083,0.37656,0.10866,0.03527,0.57028,0.10788,0.04487,0.09258,0.86255,0.17142,0.15845,0.18672,0.04149,0.09466,0.08506,0.01349,0.13356,0.00311,0.00337,0.03579,0.00985,0.00441,0.00156,0.05705,0.09077,0.08662,0.05498,0.03812,32.5137638748739
"Alberta",2021-10-01,0.55963,0.05013,0.04538,0.34485,0.12876,0.12533,0.17018,0.17045,0.17757,0.2277,0.50633,0.49367,0.54749,0.09077,0.04274,0.02296,0.05963,0.23641,0.03008,0.14195,0.2591,0.04697,0.37889,0.10501,0.03799,0.5657,0.1058,0.04723,0.08813,0.86464,0.1781,0.16807,0.16992,0.04037,0.09631,0.08364,0.01873,0.13034,0.00528,0.00237,0.03113,0.0095,0.0058,0.0029,0.05752,0.08945,0.07757,0.05277,0.04011,32.6189402597403
