"Date","GEO","VALUE","val_norm","Components","Unit of measure"
2013-03-01,"Canada",5633,5.633e+09,"UnMort_fix5","Dollars (in millions)"
2013-03-01,"Canada",3.07,0.0307,"UnMort_fix5","Interest rate (percentage)"
2013-03-01,"Canada",13597,1.3597e+10,"Credit_rate","Dollars (in millions)"
2013-03-01,"Canada",5.62,0.0562,"Credit_rate","Interest rate (percentage)"
2013-04-01,"Canada",9716,9.716e+09,"InMort_total","Dollars (in millions)"
2013-04-01,"Canada",3.11,0.0311,"InMort_total","Interest rate (percentage)"
2013-04-01,"Canada",714,7.14e+08,"InMort_var","Dollars (in millions)"
2013-04-01,"Canada",3.52,0.0352,"InMort_var","Interest rate (percentage)"
2013-04-01,"Canada",440,4.4e+08,"InMort_fix0_1","Dollars (in millions)"
2013-04-01,"Canada",4.89,0.0489,"InMort_fix0_1","Interest rate (percentage)"
2013-04-01,"Canada",1451,1.451e+09,"InMort_fix1_3","Dollars (in millions)"
2013-04-01,"Canada",2.81,0.0281,"InMort_fix1_3","Interest rate (percentage)"
2013-04-01,"Canada",1592,1.592e+09,"InMort_fix3_5","Dollars (in millions)"
2013-04-01,"Canada",2.99,0.0299,"InMort_fix3_5","Interest rate (percentage)"
2013-04-01,"Canada",5519,5.519e+09,"InMort_fix5","Dollars (in millions)"
2013-04-01,"Canada",3.03,0.0303,"InMort_fix5","Interest rate (percentage)"
2013-04-01,"Canada",14714,1.4714e+10,"UnMort_total","Dollars (in millions)"
2013-04-01,"Canada",3.03,0.0303,"UnMort_total","Interest rate (percentage)"
2013-04-01,"Canada",1326,1.326e+09,"UnMort_var","Dollars (in millions)"
2013-04-01,"Canada",3.51,0.0351,"UnMort_var","Interest rate (percentage)"
2013-04-01,"Canada",327,3.27e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-04-01,"Canada",4.4,0.044,"UnMort_fix0_1","Interest rate (percentage)"
2013-04-01,"Canada",3029,3.029e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-04-01,"Canada",2.79,0.0279,"UnMort_fix1_3","Interest rate (percentage)"
2013-04-01,"Canada",2409,2.409e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-04-01,"Canada",2.95,0.0295,"UnMort_fix3_5","Interest rate (percentage)"
2013-04-01,"Canada",7623,7.623e+09,"UnMort_fix5","Dollars (in millions)"
2013-04-01,"Canada",3.01,0.0301,"UnMort_fix5","Interest rate (percentage)"
2013-04-01,"Canada",16903,1.6903e+10,"Credit_rate","Dollars (in millions)"
2013-04-01,"Canada",5.39,0.0539,"Credit_rate","Interest rate (percentage)"
2013-05-01,"Canada",10519,1.0519e+10,"InMort_total","Dollars (in millions)"
2013-05-01,"Canada",3.09,0.0309,"InMort_total","Interest rate (percentage)"
2013-05-01,"Canada",845,8.45e+08,"InMort_var","Dollars (in millions)"
2013-05-01,"Canada",3.5,0.035,"InMort_var","Interest rate (percentage)"
2013-05-01,"Canada",521,5.21e+08,"InMort_fix0_1","Dollars (in millions)"
2013-05-01,"Canada",4.78,0.0478,"InMort_fix0_1","Interest rate (percentage)"
2013-05-01,"Canada",1582,1.582e+09,"InMort_fix1_3","Dollars (in millions)"
2013-05-01,"Canada",2.81,0.0281,"InMort_fix1_3","Interest rate (percentage)"
2013-05-01,"Canada",1794,1.794e+09,"InMort_fix3_5","Dollars (in millions)"
