"Date","GEO","num_fam","num_cpl","num_lone","num_single"
2019-07-01,"Calgary",410380,359680,50700,239180
2019-07-01,"Edmonton",386690,330520,56160,235350
2019-07-01,"Sudbury",46690,38710,7980,31910
2019-07-01,"Guelph",45220,39310,5910,27130
2019-07-01,"Hamilton",213660,180010,33650,130590
2019-07-01,"Kelowna",61610,53950,7660,41200
2019-07-01,"Kitchener",156830,135260,21570,94130
2019-07-01,"London",144200,121450,22750,96980
2019-07-01,"Montreal",1138240,973700,164540,920940
2019-07-01,"Ontario",3985380,3397070,588320,2428200
2019-07-01,"Oshawa",112590,93490,19110,58080
2019-07-01,"Ottawa",285910,247550,38370,190020
2019-07-01,"Quebec",2313190,1988120,325060,1783690
2019-07-01,"Niagara",120400,100710,19700,79440
2019-07-01,"Toronto",1766650,1514960,251690,1070690
2019-07-01,"Vancouver",737630,654950,82690,496100
2019-07-01,"Victoria",106550,93440,13100,83230
2019-07-01,"Windsor",95400,78920,16470,62970
