"GEO","Date","Age0_17","Age18_64","Age65_over"
"British Columbia",2015-03-01,838705,2850623,800322
"British Columbia",2015-04-01,839695,2852818,802915
"British Columbia",2015-05-01,840662,2854995,805492
"British Columbia",2015-06-01,841597,2857152,808051
"British Columbia",2015-07-01,842490,2859290,810590
"British Columbia",2015-08-01,843334,2861409,813110
"British Columbia",2015-09-01,844131,2863518,815612
"British Columbia",2015-10-01,844885,2865629,818100
"British Columbia",2015-11-01,845599,2867755,820576
"British Columbia",2015-12-01,846277,2869906,823042
"British Columbia",2016-01-01,846924,2872095,825502
"British Columbia",2016-02-01,847542,2874333,827958
"British Columbia",2016-03-01,848137,2876632,830412
"British Columbia",2016-04-01,848711,2879003,832868
"British Columbia",2016-05-01,849269,2881459,835328
"British Columbia",2016-06-01,849814,2884011,837794
"British Columbia",2016-07-01,850350,2886670,840270
"British Columbia",2016-08-01,850881,2889446,842758
"British Columbia",2016-09-01,851406,2892339,845259
"British Columbia",2016-10-01,851927,2895344,847775
"British Columbia",2016-11-01,852441,2898459,850308
"British Columbia",2016-12-01,852949,2901679,852859
"British Columbia",2017-01-01,853451,2905002,855430
"British Columbia",2017-02-01,853946,2908424,858022
"British Columbia",2017-03-01,854434,2911941,860636
"British Columbia",2017-04-01,854915,2915551,863274
"British Columbia",2017-05-01,855388,2919250,865939
"British Columbia",2017-06-01,855853,2923034,868630
"British Columbia",2017-07-01,856310,2926900,871350
"British Columbia",2017-08-01,856759,2930846,874099
"British Columbia",2017-09-01,857202,2934871,876874
"British Columbia",2017-10-01,857641,2938976,879669
"British Columbia",2017-11-01,858079,2943163,882480
"British Columbia",2017-12-01,858519,2947432,885302
"British Columbia",2018-01-01,858963,2951785,888130
"British Columbia",2018-02-01,859413,2956221,890959
"British Columbia",2018-03-01,859872,2960741,893785
"British Columbia",2018-04-01,860343,2965348,896603
"British Columbia",2018-05-01,860828,2970041,899408
"British Columbia",2018-06-01,861329,2974821,902195
"British Columbia",2018-07-01,861850,2979690,904960
"British Columbia",2018-08-01,862392,2984648,907697
"British Columbia",2018-09-01,862958,2989694,910404
"British Columbia",2018-10-01,863549,2994830,913076
"British Columbia",2018-11-01,864168,3000056,915710
"British Columbia",2018-12-01,864816,3005370,918302
"British Columbia",2019-01-01,865495,3010774,920850
"British Columbia",2019-02-01,866208,3016266,923349
"British Columbia",2019-03-01,866956,3021849,925795
"British Columbia",2019-04-01,867741,3027520,928186
"British Columbia",2019-05-01,868566,3033281,930518
"British Columbia",2019-06-01,869431,3039131,932787
"British Columbia",2019-07-01,870340,3045070,934990
"British Columbia",2019-08-01,871294,3051099,937123
"British Columbia",2019-09-01,872294,3057217,939183
"British Columbia",2019-10-01,873344,3063424,941165
"British Columbia",2019-11-01,874444,3069721,943068
"British Columbia",2019-12-01,875597,3076107,944886
"British Columbia",2020-01-01,876805,3082583,946617
"British Columbia",2020-02-01,878070,3089148,948257
"British Columbia",2020-03-01,879393,3095803,949802
"British Columbia",2020-04-01,880777,3102547,951249
