"Date","GEO","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
2019-07-01,"Alberta",0.029,0.166,0.148,0.124,0.115,0.175,0.418,0.243
2019-07-01,"British Columbia",0.053,0.235,0.151,0.117,0.11,0.172,0.333,0.161
2019-07-01,"Calgary",NA,NA,0.159,0.121,0.123,0.175,0.441,0.266
2019-07-01,"Edmonton",0.051,0.156,0.138,0.112,0.108,0.179,0.435,0.256
2019-07-01,"Montreal",0.041,0.264,0.143,0.138,0.109,0.159,0.305,0.146
2019-07-01,"Ontario",0.034,0.224,0.151,0.13,0.107,0.174,0.356,0.181
2019-07-01,"Ottawa",NA,0.197,0.149,0.14,0.109,0.183,0.382,0.199
2019-07-01,"Quebec",0.032,0.279,0.161,0.136,0.107,0.158,0.285,0.127
2019-07-01,"Toronto",0.032,0.212,0.134,0.129,0.103,0.178,0.391,0.212
2019-07-01,"Vancouver",0.068,0.191,0.147,0.113,0.111,0.171,0.372,0.2
2020-07-01,"Alberta",0.021,0.178,0.132,0.116,0.12,0.19,0.433,0.244
2020-07-01,"British Columbia",0.032,0.207,0.155,0.138,0.116,0.181,0.353,0.172
2020-07-01,"Calgary",0.02,0.182,0.132,0.121,0.12,0.184,0.426,0.242
2020-07-01,"Edmonton",0.022,0.152,0.122,0.112,0.123,0.191,0.468,0.277
2020-07-01,"Montreal",0.024,0.227,0.173,0.134,0.115,0.177,0.326,0.149
2020-07-01,"Ontario",0.025,0.204,0.143,0.131,0.114,0.184,0.383,0.199
2020-07-01,"Ottawa",0.029,0.173,0.136,0.13,0.104,0.181,0.427,0.246
2020-07-01,"Quebec",0.019,0.25,0.178,0.133,0.113,0.178,0.308,0.13
2020-07-01,"Toronto",0.031,0.197,0.131,0.127,0.114,0.182,0.4,0.218
2020-07-01,"Vancouver",0.039,0.191,0.14,0.137,0.114,0.183,0.38,0.197
