"GEO","Date","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
"Alberta",2015-04-01,0.026,0.162,0.131,0.12,0.106,0.208,0.457,0.249
"Alberta",2015-05-01,0.025,0.162,0.132,0.121,0.106,0.207,0.457,0.25
"Alberta",2015-06-01,0.024,0.162,0.132,0.121,0.106,0.206,0.457,0.251
"Alberta",2015-07-01,0.023,0.162,0.133,0.122,0.105,0.205,0.457,0.252
"Alberta",2015-08-01,0.023,0.164,0.132,0.122,0.104,0.207,0.456,0.249
"Alberta",2015-09-01,0.023,0.166,0.131,0.122,0.104,0.209,0.455,0.246
"Alberta",2015-10-01,0.024,0.168,0.13,0.122,0.104,0.211,0.454,0.242
"Alberta",2015-11-01,0.024,0.171,0.13,0.122,0.103,0.213,0.452,0.239
"Alberta",2015-12-01,0.024,0.173,0.129,0.122,0.102,0.215,0.451,0.236
"Alberta",2016-01-01,0.024,0.175,0.128,0.122,0.102,0.217,0.45,0.233
"Alberta",2016-02-01,0.024,0.177,0.127,0.122,0.102,0.219,0.449,0.23
"Alberta",2016-03-01,0.024,0.179,0.126,0.122,0.101,0.221,0.448,0.227
"Alberta",2016-04-01,0.024,0.182,0.126,0.122,0.1,0.223,0.446,0.224
"Alberta",2016-05-01,0.025,0.184,0.125,0.122,0.1,0.225,0.445,0.22
"Alberta",2016-06-01,0.025,0.186,0.124,0.122,0.1,0.227,0.444,0.217
"Alberta",2016-07-01,0.025,0.188,0.123,0.122,0.099,0.229,0.443,0.214
"Alberta",2016-08-01,0.024,0.188,0.124,0.122,0.099,0.226,0.442,0.216
"Alberta",2016-09-01,0.024,0.188,0.126,0.122,0.1,0.223,0.441,0.218
"Alberta",2016-10-01,0.024,0.188,0.127,0.122,0.1,0.22,0.44,0.22
"Alberta",2016-11-01,0.023,0.187,0.128,0.121,0.1,0.217,0.439,0.222
"Alberta",2016-12-01,0.022,0.187,0.13,0.121,0.101,0.214,0.438,0.224
"Alberta",2017-01-01,0.022,0.187,0.131,0.121,0.101,0.211,0.438,0.226
"Alberta",2017-02-01,0.021,0.187,0.132,0.121,0.101,0.209,0.437,0.228
"Alberta",2017-03-01,0.021,0.187,0.134,0.121,0.102,0.206,0.436,0.23
"Alberta",2017-04-01,0.02,0.186,0.135,0.12,0.102,0.203,0.435,0.232
"Alberta",2017-05-01,0.02,0.186,0.136,0.12,0.102,0.2,0.434,0.234
"Alberta",2017-06-01,0.02,0.186,0.138,0.12,0.103,0.197,0.433,0.236
"Alberta",2017-07-01,0.019,0.186,0.139,0.12,0.103,0.194,0.432,0.238
"Alberta",2017-08-01,0.02,0.185,0.138,0.12,0.104,0.194,0.432,0.238
"Alberta",2017-09-01,0.021,0.184,0.137,0.12,0.105,0.194,0.432,0.238
"Alberta",2017-10-01,0.022,0.184,0.136,0.12,0.106,0.194,0.431,0.237
"Alberta",2017-11-01,0.023,0.183,0.135,0.12,0.108,0.194,0.431,0.237
"Alberta",2017-12-01,0.024,0.182,0.134,0.12,0.109,0.194,0.431,0.237
"Alberta",2018-01-01,0.025,0.181,0.134,0.12,0.11,0.194,0.43,0.236
"Alberta",2018-02-01,0.026,0.18,0.133,0.119,0.111,0.193,0.43,0.236
"Alberta",2018-03-01,0.027,0.179,0.132,0.119,0.112,0.193,0.43,0.236
"Alberta",2018-04-01,0.028,0.179,0.131,0.119,0.113,0.193,0.43,0.236
"Alberta",2018-05-01,0.029,0.178,0.13,0.119,0.115,0.193,0.43,0.236
"Alberta",2018-06-01,0.03,0.177,0.129,0.119,0.116,0.193,0.429,0.235
"Alberta",2018-07-01,0.031,0.176,0.128,0.119,0.117,0.193,0.429,0.235
"Alberta",2018-08-01,0.031,0.175,0.13,0.119,0.117,0.192,0.428,0.236
"Alberta",2018-09-01,0.031,0.174,0.131,0.12,0.117,0.19,0.427,0.236
"Alberta",2018-10-01,0.03,0.174,0.133,0.12,0.116,0.188,0.426,0.237
"Alberta",2018-11-01,0.03,0.173,0.135,0.121,0.116,0.187,0.425,0.238
"Alberta",2018-12-01,0.03,0.172,0.136,0.121,0.116,0.186,0.424,0.238
"Alberta",2019-01-01,0.03,0.171,0.138,0.122,0.116,0.184,0.424,0.239
"Alberta",2019-02-01,0.03,0.17,0.14,0.122,0.116,0.182,0.423,0.24
"Alberta",2019-03-01,0.03,0.169,0.141,0.122,0.116,0.181,0.422,0.24
"Alberta",2019-04-01,0.029,0.168,0.143,0.123,0.116,0.18,0.421,0.241
"Alberta",2019-05-01,0.029,0.168,0.145,0.123,0.115,0.178,0.42,0.242
"Alberta",2019-06-01,0.029,0.167,0.146,0.124,0.115,0.176,0.419,0.242
"Alberta",2019-07-01,0.029,0.166,0.148,0.124,0.115,0.175,0.418,0.243
"Alberta",2019-08-01,0.028,0.167,0.147,0.123,0.115,0.176,0.419,0.243
"Alberta",2019-09-01,0.028,0.168,0.145,0.123,0.116,0.178,0.42,0.243
"Alberta",2019-10-01,0.027,0.169,0.144,0.122,0.116,0.179,0.422,0.243
"Alberta",2019-11-01,0.026,0.17,0.143,0.121,0.117,0.18,0.423,0.243
"Alberta",2019-12-01,0.026,0.171,0.141,0.121,0.117,0.181,0.424,0.243
"Alberta",2020-01-01,0.025,0.172,0.14,0.12,0.117,0.182,0.426,0.244
