"Date","GEO","Compl_total","Compl_single","Compl_semi","Compl_row","Starts_total","Starts_single","Starts_semi","Starts_row","UC_total","UC_single","UC_semi","UC_row"
2021-06-01,"Guelph",34,16,2,16,47,24,16,7,346,138,28,180
2021-06-01,"Hamilton",112,80,0,32,238,85,4,149,1659,630,278,751
2021-06-01,"Kelowna",78,33,8,37,155,96,20,39,1007,577,100,330
2021-06-01,"Kitchener",127,74,10,43,188,69,4,115,1338,627,34,677
2021-06-01,"London",210,173,0,37,252,161,8,83,2285,1351,94,840
2021-06-01,"Montreal",501,253,60,188,476,301,84,91,2936,1507,408,1021
2021-06-01,"Oshawa",135,80,32,23,376,147,12,217,2957,1316,192,1449
2021-06-01,"Ottawa",587,260,54,273,719,443,42,234,6060,2990,500,2570
2021-06-01,"Niagara",168,121,0,47,127,70,6,51,2045,991,66,988
2021-06-01,"Toronto",655,426,32,197,905,590,38,277,11181,6170,838,4173
2021-06-01,"Vancouver",611,295,62,254,564,279,38,247,7157,3406,626,3125
2021-06-01,"Victoria",94,61,12,21,146,86,20,40,1269,760,138,371
2021-06-01,"Windsor",76,43,10,23,107,80,6,21,770,459,78,233
2021-07-01,"Calgary",727,426,102,199,785,504,94,187,4851,2702,772,1377
2021-07-01,"Edmonton",546,341,72,133,865,583,136,146,5451,3441,1012,998
2021-07-01,"Sudbury",21,11,6,4,50,28,14,8,162,98,36,28
2021-07-01,"Guelph",35,16,2,17,36,18,10,8,347,140,36,171
2021-07-01,"Hamilton",91,59,12,20,107,68,2,37,1675,639,268,768
2021-07-01,"Kelowna",72,18,22,32,179,80,10,89,1114,639,88,387
2021-07-01,"Kitchener",129,90,0,39,240,61,10,169,1449,598,44,807
2021-07-01,"London",393,270,20,103,365,238,6,121,2256,1320,78,858
2021-07-01,"Montreal",528,281,82,165,467,271,78,118,2873,1494,404,975
2021-07-01,"Oshawa",299,143,18,138,289,129,22,138,2946,1301,196,1449
2021-07-01,"Ottawa",615,308,50,257,676,408,50,218,6115,3087,498,2530
2021-07-01,"Niagara",144,102,4,38,198,132,6,60,2088,1021,68,999
2021-07-01,"Toronto",750,318,50,382,1464,861,64,539,11891,6707,854,4330
2021-07-01,"Vancouver",656,288,62,306,625,257,58,310,7149,3374,624,3151
2021-07-01,"Victoria",104,66,16,22,89,80,0,9,1254,774,122,358
2021-07-01,"Windsor",87,65,4,18,93,57,12,24,775,450,86,239
2021-08-01,"Calgary",587,338,110,139,754,524,118,112,5017,2890,780,1347
2021-08-01,"Edmonton",643,402,150,91,705,521,86,98,5513,3560,948,1005
2021-08-01,"Sudbury",19,13,2,4,10,8,2,0,153,93,36,24
2021-08-01,"Guelph",56,19,6,31,31,19,12,0,322,140,42,140
2021-08-01,"Hamilton",67,31,4,32,119,61,4,54,1727,669,268,790
2021-08-01,"Kelowna",52,21,2,29,77,57,8,12,1137,675,94,368
2021-08-01,"Kitchener",108,79,2,27,232,86,6,140,1572,604,48,920
2021-08-01,"London",274,216,2,56,271,201,10,60,2253,1305,86,862
2021-08-01,"Montreal",453,242,40,171,281,155,58,68,2702,1410,420,872
2021-08-01,"Oshawa",180,107,16,57,265,137,26,102,3031,1331,206,1494
2021-08-01,"Ottawa",453,241,62,150,640,287,20,333,6286,3133,452,2701
2021-08-01,"Niagara",182,140,8,34,197,134,8,55,2100,1016,64,1020
2021-08-01,"Toronto",703,504,22,177,1242,776,52,414,12424,6973,884,4567
2021-08-01,"Vancouver",569,266,40,263,611,253,38,320,7192,3362,622,3208
2021-08-01,"Victoria",87,73,8,6,83,59,8,16,1250,760,122,368
2021-08-01,"Windsor",91,42,8,41,96,58,2,36,781,467,80,234
2021-09-01,"Calgary",590,392,122,76,711,484,98,129,5128,2982,754,1392
2021-09-01,"Edmonton",707,470,114,123,717,470,62,185,5518,3559,896,1063
2021-09-01,"Sudbury",22,14,8,0,43,25,10,8,174,104,38,32
2021-09-01,"Guelph",47,25,0,22,16,16,0,0,291,131,42,118
2021-09-01,"Hamilton",70,40,24,6,80,37,0,43,1737,666,244,827
2021-09-01,"Kelowna",44,26,4,14,101,70,10,21,1196,719,100,377
2021-09-01,"Kitchener",91,59,0,32,98,62,2,34,1578,607,50,921
2021-09-01,"London",212,142,4,66,250,195,0,55,2290,1357,82,851
2021-09-01,"Montreal",372,240,70,62,412,261,62,89,2742,1429,412,901
2021-09-01,"Oshawa",119,92,6,21,277,111,12,154,3189,1350,212,1627
2021-09-01,"Ottawa",738,463,52,223,754,402,28,324,6294,3070,426,2798
2021-09-01,"Niagara",145,118,0,27,252,143,12,97,2206,1040,76,1090
2021-09-01,"Toronto",641,433,50,158,948,494,32,422,12729,7034,864,4831
2021-09-01,"Vancouver",594,210,64,320,595,289,70,236,7197,3441,628,3128
2021-09-01,"Victoria",112,67,6,39,110,60,10,40,1244,753,126,365
2021-09-01,"Windsor",89,52,2,35,63,33,14,16,755,448,92,215
2021-10-01,"Calgary",440,267,74,99,728,490,90,148,5419,3206,772,1441
2021-10-01,"Edmonton",674,422,106,146,780,463,74,243,5632,3598,862,1172
2021-10-01,"Sudbury",40,32,4,4,34,28,6,0,168,100,40,28
2021-10-01,"Guelph",69,24,4,41,14,6,0,8,236,113,38,85
2021-10-01,"Hamilton",42,42,0,0,84,33,20,31,1779,657,264,858
2021-10-01,"Kelowna",62,40,12,10,57,49,4,4,1191,728,92,371
2021-10-01,"Kitchener",157,93,4,60,219,56,2,161,1640,570,48,1022
2021-10-01,"London",172,128,12,32,237,155,0,82,2355,1384,70,901
2021-10-01,"Montreal",507,265,82,160,499,241,94,164,2717,1403,424,890
2021-10-01,"Oshawa",113,74,12,27,226,94,2,130,3302,1370,202,1730
2021-10-01,"Ottawa",589,328,78,183,847,350,32,465,6549,3091,378,3080
2021-10-01,"Niagara",179,102,2,75,95,64,8,23,2112,1002,82,1028
2021-10-01,"Toronto",1078,525,162,391,879,539,112,228,12531,7047,814,4670
2021-10-01,"Vancouver",556,299,60,197,491,262,48,181,7132,3403,616,3113
2021-10-01,"Victoria",131,84,8,39,117,70,8,39,1230,739,126,365
2021-10-01,"Windsor",71,43,8,20,37,32,2,3,721,437,86,198
2021-11-01,"Calgary",730,493,104,133,819,451,148,220,5493,3164,816,1513
2021-11-01,"Edmonton",482,364,78,40,638,444,84,110,5775,3675,858,1242
2021-11-01,"Sudbury",28,14,10,4,30,18,4,8,170,104,34,32
2021-11-01,"Guelph",76,13,6,57,40,22,0,18,200,122,32,46
2021-11-01,"Hamilton",216,62,48,106,189,41,32,116,1752,636,248,868
2021-11-01,"Kelowna",60,35,18,7,214,135,20,59,1345,828,94,423
2021-11-01,"Kitchener",111,54,8,49,130,52,2,76,1656,565,42,1049
2021-11-01,"London",267,208,6,53,281,151,2,128,2368,1328,64,976
2021-11-01,"Montreal",433,238,58,137,405,256,42,107,2690,1418,408,864
2021-11-01,"Oshawa",309,147,14,148,150,58,8,84,3143,1279,198,1666
2021-11-01,"Ottawa",655,271,56,328,607,362,22,223,6496,3182,342,2972
2021-11-01,"Niagara",159,87,8,64,224,79,34,111,2173,993,108,1072
2021-11-01,"Toronto",970,482,56,432,1353,688,74,591,12912,7247,836,4829
2021-11-01,"Vancouver",617,259,48,310,487,224,56,207,7000,3366,624,3010
2021-11-01,"Victoria",85,58,4,23,55,38,8,9,1200,719,130,351
2021-11-01,"Windsor",85,45,2,38,63,38,8,17,700,430,92,178
2021-12-01,"Calgary",526,309,96,121,757,473,108,176,5723,3328,828,1567
2021-12-01,"Edmonton",602,384,130,88,596,445,86,65,5764,3736,816,1212
2021-12-01,"Sudbury",42,18,8,16,12,8,0,4,140,94,26,20
2021-12-01,"Guelph",31,21,2,8,40,8,6,26,208,108,36,64
2021-12-01,"Hamilton",128,98,16,14,74,41,0,33,1698,579,232,887
2021-12-01,"Kelowna",173,111,10,52,155,106,16,33,1327,823,100,404
2021-12-01,"Kitchener",304,109,10,185,307,78,6,223,1675,534,38,1103
2021-12-01,"London",209,158,10,41,265,159,0,106,2424,1329,54,1041
2021-12-01,"Montreal",357,208,68,81,181,104,16,61,2510,1314,352,844
2021-12-01,"Oshawa",384,165,14,205,52,33,0,19,2811,1147,184,1480
2021-12-01,"Ottawa",419,205,54,160,364,223,26,115,6456,3201,308,2947
2021-12-01,"Niagara",214,88,2,124,156,62,8,86,2114,966,114,1034
2021-12-01,"Toronto",573,386,6,181,711,461,72,178,13049,7322,902,4825
2021-12-01,"Vancouver",622,371,28,223,483,222,84,177,6858,3214,680,2964
2021-12-01,"Victoria",77,66,4,7,154,92,6,56,1277,745,132,400
2021-12-01,"Windsor",64,44,8,12,44,32,6,6,676,418,90,168
