"Date","GEO","VALUE","val_norm","SCALAR_FACTOR","UOM","Census_type","Family_type","Statistics"
2014-07-01,"Guelph",18360,18360,"units","Number","Couple families","Family types with 3 or more children","Number of persons"
2014-07-01,"Guelph",8840,8840,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"Guelph",9470,9470,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"Guelph",50,50,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"Guelph",122130,122130,"units","Dollars","Couple families","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"Guelph",103550,103550,"units","Dollars","Couple families","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"Guelph",5510,5510,"units","Number","Lone-parent families","Family types with or without children","Number of families"
2014-07-01,"Guelph",13970,13970,"units","Number","Lone-parent families","Family types with or without children","Number of persons"
2014-07-01,"Guelph",5590,5590,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"Guelph",7600,7600,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"Guelph",790,790,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"Guelph",47700,47700,"units","Dollars","Lone-parent families","Family types with or without children","Median before-tax family income"
2014-07-01,"Guelph",44490,44490,"units","Dollars","Lone-parent families","Family types with or without children","Median after-tax family income"
2014-07-01,"Guelph",3340,3340,"units","Number","Lone-parent families","Family types with 1 child","Number of families"
2014-07-01,"Guelph",6670,6670,"units","Number","Lone-parent families","Family types with 1 child","Number of persons"
2014-07-01,"Guelph",1720,1720,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 0 to 17 years"
2014-07-01,"Guelph",4250,4250,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 18 to 64 years"
2014-07-01,"Guelph",710,710,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 65 years and over"
2014-07-01,"Guelph",48100,48100,"units","Dollars","Lone-parent families","Family types with 1 child","Median before-tax family income"
2014-07-01,"Guelph",44100,44100,"units","Dollars","Lone-parent families","Family types with 1 child","Median after-tax family income"
2014-07-01,"Guelph",1580,1580,"units","Number","Lone-parent families","Family types with 2 children","Number of families"
2014-07-01,"Guelph",4740,4740,"units","Number","Lone-parent families","Family types with 2 children","Number of persons"
2014-07-01,"Guelph",2240,2240,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 0 to 17 years"
2014-07-01,"Guelph",2430,2430,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 18 to 64 years"
2014-07-01,"Guelph",70,70,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 65 years and over"
2014-07-01,"Guelph",49350,49350,"units","Dollars","Lone-parent families","Family types with 2 children","Median before-tax family income"
2014-07-01,"Guelph",46620,46620,"units","Dollars","Lone-parent families","Family types with 2 children","Median after-tax family income"
2014-07-01,"Guelph",590,590,"units","Number","Lone-parent families","Family types with 3 or more children","Number of families"
2014-07-01,"Guelph",2560,2560,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons"
2014-07-01,"Guelph",1630,1630,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"Guelph",930,930,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"Guelph",NA,NA,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"Guelph",41600,41600,"units","Dollars","Lone-parent families","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"Guelph",41210,41210,"units","Dollars","Lone-parent families","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"Guelph",22870,22870,"units","Number","Persons not in census families","Family types with or without children","Number of families"
2014-07-01,"Guelph",22870,22870,"units","Number","Persons not in census families","Family types with or without children","Number of persons"
2014-07-01,"Guelph",140,140,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"Guelph",15370,15370,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"Guelph",7360,7360,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"Guelph",32400,32400,"units","Dollars","Persons not in census families","Family types with or without children","Median before-tax family income"
2014-07-01,"Guelph",29630,29630,"units","Dollars","Persons not in census families","Family types with or without children","Median after-tax family income"
2014-07-01,"Guelph",22870,22870,"units","Number","Persons not in census families","Family types without children","Number of families"
2014-07-01,"Guelph",22870,22870,"units","Number","Persons not in census families","Family types without children","Number of persons"
2014-07-01,"Guelph",140,140,"units","Number","Persons not in census families","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"Guelph",15370,15370,"units","Number","Persons not in census families","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"Guelph",7360,7360,"units","Number","Persons not in census families","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"Guelph",32400,32400,"units","Dollars","Persons not in census families","Family types without children","Median before-tax family income"
2014-07-01,"Guelph",29630,29630,"units","Dollars","Persons not in census families","Family types without children","Median after-tax family income"
2014-07-01,"London",216440,216440,"units","Number","All family units","Family types with or without children","Number of families"
2014-07-01,"London",470050,470050,"units","Number","All family units","Family types with or without children","Number of persons"
2014-07-01,"London",99490,99490,"units","Number","All family units","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",291630,291630,"units","Number","All family units","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",78930,78930,"units","Number","All family units","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"London",54250,54250,"units","Dollars","All family units","Family types with or without children","Median before-tax family income"
2014-07-01,"London",48930,48930,"units","Dollars","All family units","Family types with or without children","Median after-tax family income"
2014-07-01,"London",136850,136850,"units","Number","All family units","Family types without children","Number of families"
2014-07-01,"London",191050,191050,"units","Number","All family units","Family types without children","Number of persons"
2014-07-01,"London",520,520,"units","Number","All family units","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",120250,120250,"units","Number","All family units","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",70280,70280,"units","Number","All family units","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"London",42770,42770,"units","Dollars","All family units","Family types without children","Median before-tax family income"
2014-07-01,"London",38880,38880,"units","Dollars","All family units","Family types without children","Median after-tax family income"
2014-07-01,"London",36280,36280,"units","Number","All family units","Family types with 1 child","Number of families"
2014-07-01,"London",95710,95710,"units","Number","All family units","Family types with 1 child","Number of persons"
2014-07-01,"London",19730,19730,"units","Number","All family units","Family types with 1 child","Number of persons aged 0 to 17 years"
2014-07-01,"London",68560,68560,"units","Number","All family units","Family types with 1 child","Number of persons aged 18 to 64 years"
2014-07-01,"London",7420,7420,"units","Number","All family units","Family types with 1 child","Number of persons aged 65 years and over"
2014-07-01,"London",73100,73100,"units","Dollars","All family units","Family types with 1 child","Median before-tax family income"
2014-07-01,"London",65170,65170,"units","Dollars","All family units","Family types with 1 child","Median after-tax family income"
2014-07-01,"London",29840,29840,"units","Number","All family units","Family types with 2 children","Number of families"
2014-07-01,"London",113390,113390,"units","Number","All family units","Family types with 2 children","Number of persons"
2014-07-01,"London",43180,43180,"units","Number","All family units","Family types with 2 children","Number of persons aged 0 to 17 years"
2014-07-01,"London",69180,69180,"units","Number","All family units","Family types with 2 children","Number of persons aged 18 to 64 years"
2014-07-01,"London",1030,1030,"units","Number","All family units","Family types with 2 children","Number of persons aged 65 years and over"
2014-07-01,"London",96340,96340,"units","Dollars","All family units","Family types with 2 children","Median before-tax family income"
2014-07-01,"London",83720,83720,"units","Dollars","All family units","Family types with 2 children","Median after-tax family income"
2014-07-01,"London",13480,13480,"units","Number","All family units","Family types with 3 or more children","Number of families"
2014-07-01,"London",69900,69900,"units","Number","All family units","Family types with 3 or more children","Number of persons"
2014-07-01,"London",36060,36060,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"London",33640,33640,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"London",200,200,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"London",85410,85410,"units","Dollars","All family units","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"London",76840,76840,"units","Dollars","All family units","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"London",133800,133800,"units","Number","All census families","Family types with or without children","Number of families"
2014-07-01,"London",387410,387410,"units","Number","All census families","Family types with or without children","Number of persons"
2014-07-01,"London",99060,99060,"units","Number","All census families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",236960,236960,"units","Number","All census families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",51380,51380,"units","Number","All census families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"London",78050,78050,"units","Dollars","All census families","Family types with or without children","Median before-tax family income"
2014-07-01,"London",69150,69150,"units","Dollars","All census families","Family types with or without children","Median after-tax family income"
2014-07-01,"London",54200,54200,"units","Number","All census families","Family types without children","Number of families"
2014-07-01,"London",108400,108400,"units","Number","All census families","Family types without children","Number of persons"
2014-07-01,"London",90,90,"units","Number","All census families","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",65580,65580,"units","Number","All census families","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",42730,42730,"units","Number","All census families","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"London",72280,72280,"units","Dollars","All census families","Family types without children","Median before-tax family income"
2014-07-01,"London",64280,64280,"units","Dollars","All census families","Family types without children","Median after-tax family income"
2014-07-01,"London",36280,36280,"units","Number","All census families","Family types with 1 child","Number of families"
2014-07-01,"London",95710,95710,"units","Number","All census families","Family types with 1 child","Number of persons"
2014-07-01,"London",19730,19730,"units","Number","All census families","Family types with 1 child","Number of persons aged 0 to 17 years"
2014-07-01,"London",68560,68560,"units","Number","All census families","Family types with 1 child","Number of persons aged 18 to 64 years"
2014-07-01,"London",7420,7420,"units","Number","All census families","Family types with 1 child","Number of persons aged 65 years and over"
2014-07-01,"London",73100,73100,"units","Dollars","All census families","Family types with 1 child","Median before-tax family income"
2014-07-01,"London",65170,65170,"units","Dollars","All census families","Family types with 1 child","Median after-tax family income"
2014-07-01,"London",29840,29840,"units","Number","All census families","Family types with 2 children","Number of families"
2014-07-01,"London",113390,113390,"units","Number","All census families","Family types with 2 children","Number of persons"
2014-07-01,"London",43180,43180,"units","Number","All census families","Family types with 2 children","Number of persons aged 0 to 17 years"
2014-07-01,"London",69180,69180,"units","Number","All census families","Family types with 2 children","Number of persons aged 18 to 64 years"
2014-07-01,"London",1030,1030,"units","Number","All census families","Family types with 2 children","Number of persons aged 65 years and over"
2014-07-01,"London",96340,96340,"units","Dollars","All census families","Family types with 2 children","Median before-tax family income"
2014-07-01,"London",83720,83720,"units","Dollars","All census families","Family types with 2 children","Median after-tax family income"
2014-07-01,"London",13480,13480,"units","Number","All census families","Family types with 3 or more children","Number of families"
2014-07-01,"London",69900,69900,"units","Number","All census families","Family types with 3 or more children","Number of persons"
2014-07-01,"London",36060,36060,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"London",33640,33640,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"London",200,200,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"London",85410,85410,"units","Dollars","All census families","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"London",76840,76840,"units","Dollars","All census families","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"London",112260,112260,"units","Number","Couple families","Family types with or without children","Number of families"
2014-07-01,"London",332470,332470,"units","Number","Couple families","Family types with or without children","Number of persons"
2014-07-01,"London",76090,76090,"units","Number","Couple families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",207770,207770,"units","Number","Couple families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",48600,48600,"units","Number","Couple families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"London",86370,86370,"units","Dollars","Couple families","Family types with or without children","Median before-tax family income"
2014-07-01,"London",75620,75620,"units","Dollars","Couple families","Family types with or without children","Median after-tax family income"
2014-07-01,"London",54200,54200,"units","Number","Couple families","Family types without children","Number of families"
2014-07-01,"London",108400,108400,"units","Number","Couple families","Family types without children","Number of persons"
2014-07-01,"London",90,90,"units","Number","Couple families","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",65580,65580,"units","Number","Couple families","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",42730,42730,"units","Number","Couple families","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"London",72280,72280,"units","Dollars","Couple families","Family types without children","Median before-tax family income"
2014-07-01,"London",64280,64280,"units","Dollars","Couple families","Family types without children","Median after-tax family income"
2014-07-01,"London",23150,23150,"units","Number","Couple families","Family types with 1 child","Number of families"
2014-07-01,"London",69450,69450,"units","Number","Couple families","Family types with 1 child","Number of persons"
2014-07-01,"London",12660,12660,"units","Number","Couple families","Family types with 1 child","Number of persons aged 0 to 17 years"
2014-07-01,"London",51920,51920,"units","Number","Couple families","Family types with 1 child","Number of persons aged 18 to 64 years"
2014-07-01,"London",4880,4880,"units","Number","Couple families","Family types with 1 child","Number of persons aged 65 years and over"
2014-07-01,"London",96290,96290,"units","Dollars","Couple families","Family types with 1 child","Median before-tax family income"
2014-07-01,"London",83560,83560,"units","Dollars","Couple families","Family types with 1 child","Median after-tax family income"
2014-07-01,"London",23890,23890,"units","Number","Couple families","Family types with 2 children","Number of families"
2014-07-01,"London",95540,95540,"units","Number","Couple families","Family types with 2 children","Number of persons"
2014-07-01,"London",34380,34380,"units","Number","Couple families","Family types with 2 children","Number of persons aged 0 to 17 years"
2014-07-01,"London",60350,60350,"units","Number","Couple families","Family types with 2 children","Number of persons aged 18 to 64 years"
2014-07-01,"London",820,820,"units","Number","Couple families","Family types with 2 children","Number of persons aged 65 years and over"
2014-07-01,"London",110840,110840,"units","Dollars","Couple families","Family types with 2 children","Median before-tax family income"
2014-07-01,"London",95170,95170,"units","Dollars","Couple families","Family types with 2 children","Median after-tax family income"
2014-07-01,"London",11020,11020,"units","Number","Couple families","Family types with 3 or more children","Number of families"
2014-07-01,"London",59070,59070,"units","Number","Couple families","Family types with 3 or more children","Number of persons"
2014-07-01,"London",28970,28970,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"London",29920,29920,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"London",180,180,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"London",99000,99000,"units","Dollars","Couple families","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"London",87610,87610,"units","Dollars","Couple families","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"London",21540,21540,"units","Number","Lone-parent families","Family types with or without children","Number of families"
2014-07-01,"London",54940,54940,"units","Number","Lone-parent families","Family types with or without children","Number of persons"
2014-07-01,"London",22970,22970,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",29190,29190,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",2780,2780,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"London",40880,40880,"units","Dollars","Lone-parent families","Family types with or without children","Median before-tax family income"
2014-07-01,"London",39180,39180,"units","Dollars","Lone-parent families","Family types with or without children","Median after-tax family income"
2014-07-01,"London",13130,13130,"units","Number","Lone-parent families","Family types with 1 child","Number of families"
2014-07-01,"London",26260,26260,"units","Number","Lone-parent families","Family types with 1 child","Number of persons"
2014-07-01,"London",7070,7070,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 0 to 17 years"
2014-07-01,"London",16640,16640,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 18 to 64 years"
2014-07-01,"London",2540,2540,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 65 years and over"
2014-07-01,"London",40280,40280,"units","Dollars","Lone-parent families","Family types with 1 child","Median before-tax family income"
2014-07-01,"London",38180,38180,"units","Dollars","Lone-parent families","Family types with 1 child","Median after-tax family income"
2014-07-01,"London",5950,5950,"units","Number","Lone-parent families","Family types with 2 children","Number of families"
2014-07-01,"London",17850,17850,"units","Number","Lone-parent families","Family types with 2 children","Number of persons"
2014-07-01,"London",8810,8810,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 0 to 17 years"
2014-07-01,"London",8830,8830,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 18 to 64 years"
2014-07-01,"London",210,210,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 65 years and over"
2014-07-01,"London",42380,42380,"units","Dollars","Lone-parent families","Family types with 2 children","Median before-tax family income"
2014-07-01,"London",41230,41230,"units","Dollars","Lone-parent families","Family types with 2 children","Median after-tax family income"
2014-07-01,"London",2460,2460,"units","Number","Lone-parent families","Family types with 3 or more children","Number of families"
2014-07-01,"London",10830,10830,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons"
2014-07-01,"London",7090,7090,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"London",3720,3720,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"London",30,30,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"London",40210,40210,"units","Dollars","Lone-parent families","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"London",39910,39910,"units","Dollars","Lone-parent families","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"London",82650,82650,"units","Number","Persons not in census families","Family types with or without children","Number of families"
2014-07-01,"London",82650,82650,"units","Number","Persons not in census families","Family types with or without children","Number of persons"
2014-07-01,"London",420,420,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",54670,54670,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",27560,27560,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"London",28320,28320,"units","Dollars","Persons not in census families","Family types with or without children","Median before-tax family income"
2014-07-01,"London",26430,26430,"units","Dollars","Persons not in census families","Family types with or without children","Median after-tax family income"
2014-07-01,"London",82650,82650,"units","Number","Persons not in census families","Family types without children","Number of families"
2014-07-01,"London",82650,82650,"units","Number","Persons not in census families","Family types without children","Number of persons"
2014-07-01,"London",420,420,"units","Number","Persons not in census families","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"London",54670,54670,"units","Number","Persons not in census families","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"London",27560,27560,"units","Number","Persons not in census families","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"London",28320,28320,"units","Dollars","Persons not in census families","Family types without children","Median before-tax family income"
2014-07-01,"London",26430,26430,"units","Dollars","Persons not in census families","Family types without children","Median after-tax family income"
2014-07-01,"Windsor",146740,146740,"units","Number","All family units","Family types with or without children","Number of families"
2014-07-01,"Windsor",326070,326070,"units","Number","All family units","Family types with or without children","Number of persons"
2014-07-01,"Windsor",71600,71600,"units","Number","All family units","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",200740,200740,"units","Number","All family units","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",53730,53730,"units","Number","All family units","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",53070,53070,"units","Dollars","All family units","Family types with or without children","Median before-tax family income"
2014-07-01,"Windsor",48150,48150,"units","Dollars","All family units","Family types with or without children","Median after-tax family income"
2014-07-01,"Windsor",89520,89520,"units","Number","All family units","Family types without children","Number of families"
2014-07-01,"Windsor",124670,124670,"units","Number","All family units","Family types without children","Number of persons"
2014-07-01,"Windsor",400,400,"units","Number","All family units","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",77520,77520,"units","Number","All family units","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",46760,46760,"units","Number","All family units","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",41680,41680,"units","Dollars","All family units","Family types without children","Median before-tax family income"
2014-07-01,"Windsor",37920,37920,"units","Dollars","All family units","Family types without children","Median after-tax family income"
2014-07-01,"Windsor",25470,25470,"units","Number","All family units","Family types with 1 child","Number of families"
2014-07-01,"Windsor",66770,66770,"units","Number","All family units","Family types with 1 child","Number of persons"
2014-07-01,"Windsor",13230,13230,"units","Number","All family units","Family types with 1 child","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",47650,47650,"units","Number","All family units","Family types with 1 child","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",5890,5890,"units","Number","All family units","Family types with 1 child","Number of persons aged 65 years and over"
2014-07-01,"Windsor",71880,71880,"units","Dollars","All family units","Family types with 1 child","Median before-tax family income"
2014-07-01,"Windsor",64210,64210,"units","Dollars","All family units","Family types with 1 child","Median after-tax family income"
2014-07-01,"Windsor",21400,21400,"units","Number","All family units","Family types with 2 children","Number of families"
2014-07-01,"Windsor",80940,80940,"units","Number","All family units","Family types with 2 children","Number of persons"
2014-07-01,"Windsor",30390,30390,"units","Number","All family units","Family types with 2 children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",49620,49620,"units","Number","All family units","Family types with 2 children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",940,940,"units","Number","All family units","Family types with 2 children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",97440,97440,"units","Dollars","All family units","Family types with 2 children","Median before-tax family income"
2014-07-01,"Windsor",84830,84830,"units","Dollars","All family units","Family types with 2 children","Median after-tax family income"
2014-07-01,"Windsor",10350,10350,"units","Number","All family units","Family types with 3 or more children","Number of families"
2014-07-01,"Windsor",53680,53680,"units","Number","All family units","Family types with 3 or more children","Number of persons"
2014-07-01,"Windsor",27580,27580,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",25950,25950,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",150,150,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",83090,83090,"units","Dollars","All family units","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"Windsor",75530,75530,"units","Dollars","All family units","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"Windsor",92370,92370,"units","Number","All census families","Family types with or without children","Number of families"
2014-07-01,"Windsor",271690,271690,"units","Number","All census families","Family types with or without children","Number of persons"
2014-07-01,"Windsor",71250,71250,"units","Number","All census families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",165440,165440,"units","Number","All census families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",35010,35010,"units","Number","All census families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",76260,76260,"units","Dollars","All census families","Family types with or without children","Median before-tax family income"
2014-07-01,"Windsor",67860,67860,"units","Dollars","All census families","Family types with or without children","Median after-tax family income"
2014-07-01,"Windsor",35150,35150,"units","Number","All census families","Family types without children","Number of families"
2014-07-01,"Windsor",70300,70300,"units","Number","All census families","Family types without children","Number of persons"
2014-07-01,"Windsor",50,50,"units","Number","All census families","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",42220,42220,"units","Number","All census families","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",28030,28030,"units","Number","All census families","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",69220,69220,"units","Dollars","All census families","Family types without children","Median before-tax family income"
2014-07-01,"Windsor",61960,61960,"units","Dollars","All census families","Family types without children","Median after-tax family income"
2014-07-01,"Windsor",25470,25470,"units","Number","All census families","Family types with 1 child","Number of families"
2014-07-01,"Windsor",66770,66770,"units","Number","All census families","Family types with 1 child","Number of persons"
2014-07-01,"Windsor",13230,13230,"units","Number","All census families","Family types with 1 child","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",47650,47650,"units","Number","All census families","Family types with 1 child","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",5890,5890,"units","Number","All census families","Family types with 1 child","Number of persons aged 65 years and over"
2014-07-01,"Windsor",71880,71880,"units","Dollars","All census families","Family types with 1 child","Median before-tax family income"
2014-07-01,"Windsor",64210,64210,"units","Dollars","All census families","Family types with 1 child","Median after-tax family income"
2014-07-01,"Windsor",21400,21400,"units","Number","All census families","Family types with 2 children","Number of families"
2014-07-01,"Windsor",80940,80940,"units","Number","All census families","Family types with 2 children","Number of persons"
2014-07-01,"Windsor",30390,30390,"units","Number","All census families","Family types with 2 children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",49620,49620,"units","Number","All census families","Family types with 2 children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",940,940,"units","Number","All census families","Family types with 2 children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",97440,97440,"units","Dollars","All census families","Family types with 2 children","Median before-tax family income"
2014-07-01,"Windsor",84830,84830,"units","Dollars","All census families","Family types with 2 children","Median after-tax family income"
2014-07-01,"Windsor",10350,10350,"units","Number","All census families","Family types with 3 or more children","Number of families"
2014-07-01,"Windsor",53680,53680,"units","Number","All census families","Family types with 3 or more children","Number of persons"
2014-07-01,"Windsor",27580,27580,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",25950,25950,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",150,150,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",83090,83090,"units","Dollars","All census families","Family types with 3 or more children","Median before-tax family income"
2014-07-01,"Windsor",75530,75530,"units","Dollars","All census families","Family types with 3 or more children","Median after-tax family income"
2014-07-01,"Windsor",76040,76040,"units","Number","Couple families","Family types with or without children","Number of families"
2014-07-01,"Windsor",229480,229480,"units","Number","Couple families","Family types with or without children","Number of persons"
2014-07-01,"Windsor",53520,53520,"units","Number","Couple families","Family types with or without children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",143200,143200,"units","Number","Couple families","Family types with or without children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",32750,32750,"units","Number","Couple families","Family types with or without children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",85640,85640,"units","Dollars","Couple families","Family types with or without children","Median before-tax family income"
2014-07-01,"Windsor",75050,75050,"units","Dollars","Couple families","Family types with or without children","Median after-tax family income"
2014-07-01,"Windsor",35150,35150,"units","Number","Couple families","Family types without children","Number of families"
2014-07-01,"Windsor",70300,70300,"units","Number","Couple families","Family types without children","Number of persons"
2014-07-01,"Windsor",50,50,"units","Number","Couple families","Family types without children","Number of persons aged 0 to 17 years"
2014-07-01,"Windsor",42220,42220,"units","Number","Couple families","Family types without children","Number of persons aged 18 to 64 years"
2014-07-01,"Windsor",28030,28030,"units","Number","Couple families","Family types without children","Number of persons aged 65 years and over"
2014-07-01,"Windsor",69220,69220,"units","Dollars","Couple families","Family types without children","Median before-tax family income"
2014-07-01,"Windsor",61960,61960,"units","Dollars","Couple families","Family types without children","Median after-tax family income"
2014-07-01,"Windsor",15830,15830,"units","Number","Couple families","Family types with 1 child","Number of families"
2014-07-01,"Windsor",47490,47490,"units","Number","Couple families","Family types with 1 child","Number of persons"
